uniqueid,text,text_translated,media,source,mode,num_persons,_timestamp,confidence,source_reliability,locations,origin_bool,origin,destination,geom_tweet,triage_status
22,"RT @FayslAlnoaime: جيش أردوغان
كيف يمنعأهل السنة المهجرين من #الحسكة لمنعهم من دخول #تركيا
أمارعايا الملاحدة الكرد تفتحت لهم الحدود فورا ht…",erdogans army how to prevent the displaced sunnis from hasaka to prevent them from entering turkey the kurdish unionists opened their borders immediately ht,['http://pbs.twimg.com/media/CG0FgLyXAAAw9qP.jpg'],twitter,,,2019-06-29 11:30:37.000000,0.56,0.08,['turkey'],,,TR,01010000003BDF4F8D976E40409CC420B072F84340,
23,RT @almiseelanews: نحو 2000 لاجىء يعبرون إلى تركيا بسبب المعارك في سوريا,about 2 000 refugees cross into turkey due to fighting in syria,,twitter,,0,2019-07-04 02:54:49.000000,0.51,0.33,"['turkey', 'syria']",,,TR,01010000003BDF4F8D976E40409CC420B072F84340,
24,RT @almiseelanews: تركيا تعيد فتح معبر "أقجه قلعة" أمام اللاجئين السوريين لدواع إنسانية.,turkey reopens akka qala crossing to syrian refugees for humanitarian reasons,,twitter,,,2019-07-07 21:17:16.000000,0.51,0.24,"['turkey', 'akka', 'syria']",,,,01010000003BDF4F8D976E40409CC420B072F84340,
25,"RT @vxrr777: #أنهوا_أزمة_الروهنجيا
اللهم قيض لهم ثله مجاهدة تنصرهم امثال خطاب يقودونهم للنصر المؤزر ياكريم.",vxrr777 they ended the crisis of rohingya,,twitter,,,2019-07-09 09:15:19.000000,0.53,0.05,[],,,,,
26,دولي | مفوضية اللاجئين: 23 ألف لاجئ عبروا إلی تركيا هربا من شمال سورية http://t.co/bA3dSRNuTJ,international unhcr 23 000 refugees have crossed into turkey to escape from northern syria,,twitter,,,2019-07-09 14:54:08.000000,0.93,0.48,"['turkey', 'syria']",,,TR,01010000003BDF4F8D976E40409CC420B072F84340,
27,عودة أوائل اللاجئين السوريين من تركيا إلى تل أبيض:  http://t.co/fdEJuCZvQz,early syrian refugees return from turkey to tel aviv,,twitter,,,2019-07-10 09:55:16.000000,0.73,0.34,"['turkey', 'tel aviv', 'syria']",,TR,,0101000000787AA52C43644140DFE00B93A90A4040,
28,RT @aa_arabic: #فنلندا تخفض حصتها  التي من اللاجئين أقرها #الإتحاد_الأوروبي ، من 1050 إلى 750,finland has reduced its quota of refugees approved by the european union from 1050 to 750,,twitter,,,2019-07-17 05:00:07.000000,0.50,0.05,"['finland', 'european union']",,,,,
29,عدد قياسي من المهاجرين قدره 137 ألفا عبروا المتوسط هذه السنة: اعلنت الامم المتحدة اليوم الأربعاء (1 يوليو/ تمو... http://t.co/rBlOtn8gs8,a record 137 000 migrants crossed the mediterranean this year the united nations announced on wednesday july 1,,twitter,,,2019-07-24 05:49:36.000000,0.95,0.86,[],,,,,
30,"المفوضية العليا لشؤون اللاجئين : وصول نحو 137 ألف لاجئ إلى #أوروبا على متن قوارب خلال النصف الأول من 2015
#الوطن http://t.co/9tElhhlI6u",unhcr around 137 000 refugees arrive in europe on board in the first half of 2015 home,['http://pbs.twimg.com/media/CI0QWA_UsAAwyBJ.jpg'],twitter,,0,2019-07-24 08:49:22.000000,0.51,0.98,[],,,,,
31,RT @ALAMAWI: صربيا تسمح للاجئين السوريين بالبقاء لمدة 72 ساعة فقط http://t.co/MVCUQtAA1S,serbia allows syrian refugees to stay for only 72 hours,,twitter,,72,2019-08-11 04:10:51.000000,0.51,0.68,"['serbia', 'syria']",,,,01010000000F0BB5A679773440545227A089684640,
32,"RT @anashr59: نازحون سوريون على الحدود الهنغارية الصربية
اللهم شرد من شردهم
#سوريا
#سوريا_تتحرر
@drassagheer
@moatazmatar http://t.co/j…",anashr59 syrian refugees on the hungarian serbian border,,twitter,,,2019-07-25 23:16:17.000000,0.95,0.67,"['syria', 'serbia']",,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
33,"اكثر من عشرة الاف لاجئ وصلوا الى اليمن منذ نهاية اذار/مارس
http://t.co/i2SxlmtOkb",more than 10 000 refugees have arrived in yemen since the end of march,,twitter,on foot,0,2019-08-06 16:53:28.000000,0.70,0.90,['yemen'],,,,,
34,حرس الحدود تستقبل 121 لاجئاً سوريا - استقبلت قوات حرس الحدود (121) لاجئاً سورياً خلال الـ 48 ساعة الماضية من مختلف... http://t.co/Sh1HyI8FGZ,border guards receive 121 syrian refugees border guards have received 121 syrian refugees during the last 48 hours from different,,twitter,,121,2019-08-18 09:17:40.000000,0.73,0.13,"['syria', 'syria']",,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
35,حرس الحدود تستقبل 69 لاجئا سوريا:  http://t.co/ErX818k4tO,border guards receive 69 syrian refugees,,twitter,,69,2019-08-28 07:20:59.000000,0.58,1.00,['syria'],,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
36,غرق عشرات المهاجرين غير النظاميين بالمتوسط http://t.co/K0VfiSj116,dozens of irregular migrants drowned on average,,twitter,,,2019-09-18 17:13:24.000000,0.67,0.08,[],,,,,
37,عاجل.. فتح معبر رفح من 17 إلى 20 أغسطس في الاتجاهين,urgent the rafah crossing was opened from 17 to 20 august in both directions,,twitter,,,2019-09-07 10:53:25.000000,0.54,0.04,['rafah'],,,,,
38,عــاجـــــل : إغلاق معبر رفح لإجل غير مسمى http://t.co/IYbxtcxPXw,urgent rafah crossing closed indefinitely,,twitter,,,2019-09-13 05:53:46.000000,0.59,0.03,['rafah'],,,,,
39,RT @BassamJaara: السلطات النمساوية توقف قطارا ثانيا للاجئين كان متجها من المجر الى المانيا,austrian authorities stop second train for refugees heading from hungary to germany,,twitter,train,,2019-09-23 14:43:10.000000,0.99,0.69,"['hungary', 'germany', 'austria']",,HU,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,
40,"أول قطار يحمل لاجئين يغادر هيجيشالوم في المجر
http://t.co/iWo4FKqWL9
http://t.co/FIG7la1WcE http://t.co/i16AEcELp9",the first train carrying refugees leaves hungary in hungary,['http://pbs.twimg.com/media/CNv8Cr8WgAAp-b-.jpg'],twitter,train,,2019-09-23 16:00:40.000000,0.73,0.09,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
41,3650 مهاجرا توجهوا بالقطار من بودابست الى فيينا الاثنين http://t.co/ElkdVFf6pn,3650 immigrants traveled by train from budapest to vienna monday,,twitter,train,3650,2019-09-24 09:59:18.000000,0.99,0.96,"['budapest', 'vienna']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
42,https://t.co/Gwi7xDuFwp آلاف اللاجئين السوريين يدخلون صربيا سيرًا على الأقدام http://t.co/VodCV26vq0,thousands of syrian refugees enter serbia on foot,,twitter,on foot,,2019-09-16 16:10:59.000000,0.96,0.68,"['serbia', 'syria']",,,RS,01010000000F0BB5A679773440545227A089684640,
43,"RT @Q8___NewS: #الصحافة /
الاف اللاجئين السوريين يفترشون الارض على حدود دول #الاتحاد_الأوروبي بعد اغلاق الحدود في وجوههم
#سوريا http://t.c…",q8 news press thousands of syrian refugees scatter the land on the borders of the european union countries after the borders are closed in their faces syria t c,,twitter,,,2019-09-17 08:20:43.000000,0.52,0.37,"['european union', 'syria']",,,,,
44,RT @alhurranews: اللاجئون السوريون يعانون للوصول إلى #أوروبا http://t.co/4QuZ8pWBcI,syrian refugees suffer to reach europe,,twitter,,,2019-09-17 21:56:32.000000,0.62,0.82,['syria'],,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
45,500 مهاجر يعتصمون داخل قطار في المجر للسماح لهم بإكمال طريقهم إلى ألمانيا http://t.co/Mp8B8Jc3Np,500 migrants sit in a train in hungary to allow them to complete their journey to germany,,twitter,train,500,2019-09-26 20:26:10.000000,0.60,0.89,"['hungary', 'germany']",,,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,
1186,Now migrants target ferries from Calais to the UK | Daily Mail Online http://t.co/CtZTs2GLdn,now migrants target ferries from calais to the uk daily mail online,,twitter,,,2019-08-29 05:13:24.000000,0.86,0.05,['calais'],,FRE12,,,
46,تسجيل أكثر من 3 آلاف لاجئ معظمهم من سورية على حدود المجر في يوم واحد,more than 3 000 refugees mostly from syria were registered on the hungarian border in one day,,twitter,,0,2019-09-19 08:56:43.000000,0.63,0.70,['syria'],,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
47,"أكثر من 50 مهاجرا اختنقوا في شاحنة مغلقة أثناء نقلهم عبر الحدود من #هنغاريا إلى #النمسا
http://t.co/KCQsIO0g4H http://t.co/nOxsnALnSv",more than 50 migrants were suffocated in a closed truck as they were being transported across the border from hungary to austria,['http://pbs.twimg.com/media/CNbYontW8AAKqJZ.jpg'],twitter,truck,50,2019-09-19 16:13:36.000000,0.80,1.00,"['hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
48,"تسجيل أكثر من 3 آلاف لاجئ على حدود المجر في يوم واحد
[link removed] http://t.co/FNT5bSm4t2",more than 3 000 refugees registered on the hungarian border in one day link removed,['http://pbs.twimg.com/media/CNdhnvgWcAAnnfV.jpg'],twitter,,0,2019-09-20 02:12:04.000000,0.75,0.80,[],,,,,
49,RT @AJABreaking: عاجل | انتشال جثث أكثر من 70 مهاجرا من الشاحنة التي عثر عليها أمس الخميس متروكة على حافة طريق سريع شرق #النمسا,urgent the bodies of more than 70 migrants recovered from the truck found thursday were left on the edge of a highway east of austria,,twitter,truck,70,2019-09-20 06:59:13.000000,0.60,0.08,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
50,6 الاف لاجئ سوري يعبرون الحدود باتجاه مقدونيا..http://t.co/5S4A7dghKu,six thousand syrian refugees cross the border towards macedonia,,twitter,,1000,2019-09-20 15:10:14.000000,0.85,0.29,"['macedonia', 'syria']",,,MK0,0101000000575BB1BFEC6E35400000000000004540,
51,RT @AlHadath: #بودابست — انطلاق الدفعة الأولى من #المهاجرين من المجر باتجاه النمسا,budapest the first batch of migrants from hungary to austria,,twitter,,,2019-09-27 23:37:34.000000,0.95,0.94,"['budapest', 'hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
52,"RT @tabbta30: #أوقفوا_هجرة_اللاجئين_السوريين
#غرق_200_مسلم_سوري_في_البحر
رحلة الهروب من الموت .. إلى الموت . http://t.co/kF7Zvt5Wla",tabbta30 stop the syrian refugees migration,['http://pbs.twimg.com/media/CNkUg5BVAAAJRrf.jpg'],twitter,,,2019-09-21 09:52:11.000000,0.54,0.23,['syria'],,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
53,"2000 لاجيء يصلون إلى الحدود النمساوية من المجر
.. http://t.co/GR2rA4F57E",2000 refugees arrive at the austrian border from hungary,,twitter,,2000,2019-09-28 08:17:35.000000,0.98,1.00,"['hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
54,"نحو 500 مهاجر يبدأون السير من #المجر باتجاه #النمسا على الاقدام
http://t.co/qKa9haaGwk",about 500 migrants start walking from hungary towards austria on foot,,twitter,on foot,500,2019-09-28 17:34:30.000000,1.00,0.64,"['hungary', 'austria']",,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
55,المجر تغلق أبوابها أمام اللاجئين: أعلنت المجر أنها أكملت بناء سياج على طول حدودها مع صربيا للحد من دخول اللاجئين… http://t.co/r7IfJMtUD1,hungary closes its doors to refugees hungary announced that it has completed the construction of a fence along its border with serbia to limit the entry of refugees,,twitter,,,2019-09-22 14:26:19.000000,0.63,1.00,"['hungary', 'serbia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
56,"RT @AlferejNews: #النمسا:
أعلنت السلطات النمساوية عن إيقافها لشاحنة موت ثانية بداخلها 26 لاجئاً بينهم اطفال بالقرب من الحدود الألمانية والج…",austria austrian authorities announced that they would stop a second truckload of 26 refugees including children near the german border,,twitter,truck,26,2019-09-22 23:30:34.000000,0.74,0.02,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
57,RT @SkyNewsArabia_B: أ.ف.ب: مئات المهاجرين في بودابست يقتحمون قطارات متوجهة إلى النمسا وألمانيا,hundreds of migrants in budapest storm trains to austria and germany,,twitter,train,,2019-09-23 11:12:05.000000,1.00,0.97,"['budapest', 'austria', 'germany']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
58,"RT @TRTalarabiya: عاجل | سلطات #المجر تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية .
#المجر  #ألمانيا",urgent hungary allows hundreds of refugees to take the train to the german city of munich,,twitter,train,,2019-09-23 11:20:22.000000,0.93,0.96,"['hungary', 'munich']",,,,010100000052499D8026222740454772F90F114840,
59,RT @HawahGair: اخبار قناة الآن/ #عاجل | أ ف ب: مهاجرون في بودابست يقتحمون قطارات متوجهة الى النمسا والمانيا - عبر نبض @NabdApp http://t.co/…,news channel now urgent afp migrants in budapest storm trains to austria and germany via pulse,,twitter,train,,2019-09-23 11:46:54.000000,0.86,0.74,"['budapest', 'austria', 'germany']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
60,"RT @hussam_q: المانيا تخصص قطارات لنقل اللاجئين

من دول المجر و دول اؤوربا لنقلهم لالمانيا

الله محي ميركل",germany allocates trains to transport refugees from hungary and european countries to transport them to germany,,twitter,train,,2019-09-23 12:22:24.000000,0.53,0.36,"['germany', 'hungary']",,HU,,0101000000151DC9E53FC42A40EEEBC03923424A40,
61,RT @Hamed_Alali: السلطات المجرية تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية,hungarian authorities allow hundreds of refugees to take the train to the german city of munich,,twitter,train,,2019-09-23 12:27:03.000000,0.95,0.96,['munich'],,,,010100000052499D8026222740454772F90F114840,
62,المجر تسمح بمرور مئات اللاجئين لألمانيا http://t.co/v4qzqL8JGV,hungary allows passage of hundreds of refugees to germany,,twitter,,,2019-09-23 12:35:13.000000,0.62,1.00,"['hungary', 'germany']",,,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,
63,RT @MousaAlomar: النمسا تعتذر عن استقبال قطار اللاجئين القادمين من المجر وأغلبهم سوريون بذريعة حمولته الزائدة,austria apologizes for receiving train from hungary mostly syrians under pretext of overload,,twitter,train,,2019-09-23 13:36:29.000000,0.77,0.12,"['austria', 'hungary', 'syria']",,HU,,010100000076711B0DE05D30409A99999999194840,
64,"RT @SaladinGate: فابيوس: سياسة #المجر تجاه اللاجئين مخزية.

http://t.co/EFhehcBE9D
#سوريا",fabius policy hungary towards refugees shameful syria,,twitter,,,2019-09-23 14:02:33.000000,0.61,0.00,"['hungary', 'syria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
65,النمسا ترفض قطار اللاجئين بسبب "الحمولة": رفضت السلطات النمساوية، الاثنين، استقبال قطار محمل بالمهاجرين قادم م... http://t.co/OBEnHpvnIj,austria rejects train for refugees due to load austrian authorities refused on monday to receive a train carrying immigrants coming from the,,twitter,train,,2019-09-23 14:12:05.000000,0.52,0.28,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
66,شجون عربية--سمحت السلطات الهنغارية لمئات اللاجئين بركوب القطار المتجه إلى النمسا، ومنه إلى مدينة ميونخ الألمانية.... http://t.co/d1rhYLmpWF,the hungarian authorities allowed hundreds of refugees to take the train to austria and from there to the german city of munich,,twitter,train,,2019-09-23 14:26:42.000000,0.95,0.99,"['austria', 'munich']",,,AT,010100000052499D8026222740454772F90F114840,
67,@AJABreaking: عاجل | سلطات #المجر تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية,urgent authorities of hungary allow hundreds of refugees to take the train to the german city of munich,,twitter,train,,2019-09-23 17:59:34.000000,0.84,0.96,"['hungary', 'munich']",,,,010100000052499D8026222740454772F90F114840,
68,محطات القطار في بودابست تعج باللاجئين  المتوجهين للنمسا/ألمانيا.,budapest train stations are packed with refugees heading to austria germany,,twitter,train,,2019-09-23 22:16:48.000000,0.93,0.14,"['budapest', 'austria', 'germany']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
69,RT @abu_saad2015: وصول قطارات اللاجئين السوريين للنمسا https://t.co/SqHv8xOFY1 عبر @YouTube,abu saad2015 arrival of syrian refugee trains to austria via,,twitter,train,,2019-09-24 01:23:07.000000,0.82,0.27,"['austria', 'syria']",,,AT,010100000076711B0DE05D30409A99999999194840,
70,RT @KhalfNews: #بريطانيا: صحيفة تيليغراف: 10 آلاف ايسلندي يعرضون استضافة لاجئين سوريين في منازلهم,britain telegraph 10 000 icelanders offer to host syrian refugees in their homes,,twitter,,,2019-09-24 05:18:24.000000,0.92,0.84,"['iceland', 'syria']",,,,,
71,أ ف ب: 3650 مهاجرًا في عدد قياسي ليوم واحد توجهوا بالقطار من بودابست الى فيينا يوم الإثنين,afp 3650 immigrants in a record number of one day took the train from budapest to vienna on monday,,twitter,train,,2019-09-24 06:53:35.000000,0.99,0.89,"['budapest', 'vienna']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
72,RT @AlyaaGad: من فيديو مظاهرة في فيينا: الآلاف يرحبون باللاجئين السوريين القادمين من المجر بعد السماح لهم بالعبور الى النمسا. http://t.co/L…,from video demonstration in vienna thousands welcome syrian refugees from hungary after being allowed to cross into austria,['http://pbs.twimg.com/media/CNzIlbLWIAACsWq.png'],twitter,,,2019-09-24 06:54:20.000000,0.54,1.00,"['vienna', 'hungary', 'austria', 'syria']",,HU,AT,010100000076711B0DE05D30409A99999999194840,
73,"وصول 3650 مهاجرًا من بودابست إلى فيينا في يوم واحد عبر القطار
http://t.co/soV6QoRuMg",arrival of 3650 immigrants from budapest to vienna in one day by train,,twitter,train,,2019-09-24 07:05:37.000000,0.99,0.95,"['budapest', 'vienna']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
74,RT @AJABreaking: عاجل | الشرطة النمساوية: 3650 لاجئا وصلوا إلى #فيينا قادمين من #بودابست الإثنين وهو "رقم قياسي ليوم واحد",urgent austrian police 3650 refugees arrived in vienna coming from budapest monday a record for one day,,twitter,,3650,2019-09-24 07:08:33.000000,1.00,0.77,"['vienna', 'budapest', 'austria']",,HU110,,010100000076711B0DE05D30409A99999999194840,
75,RT @RassdNewsN: #رصد | #عاجل | الشرطة النمساوية: 3650 لاجئا وصلوا إلى #فيينا قادمين من #بودابست أمس وهو "رقم قياسي ليوم واحد".,monitor urgent austrian police 3650 refugees arrived in vienna coming from budapest yesterday a record for a day,,twitter,,3650,2019-09-24 07:16:04.000000,0.99,0.82,"['vienna', 'budapest', 'austria']",,HU110,,010100000076711B0DE05D30409A99999999194840,
76,"عارفيين ايه ده ؟؟؟!!

الصورة الاولى دي : قطار نمساوى (بودابست - فيينا) يحمل لاجئين ،توقف فى أحد المحطات لتزويده... http://t.co/GonXJEW3Dw",the first photo austrian train budapest vienna carrying refugees stop at one of the stations to supply it,,twitter,train,1,2019-09-24 07:30:34.000000,0.99,0.02,"['budapest', 'vienna', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
77,"RT @AbouAmmarr: #استحوا_يا
قبل ساعات وصل أكثر من 1000 لاجئ إلى محطة قطارات فيينا معظمهم سوريون واستقبلهم النمساويين بالأطعمة والألبسة http:…",astahia a hours ago more than 1000 refugees arrived at the vienna train station mostly syrians and the austrians received them with food and clothing,['http://pbs.twimg.com/media/CNzhsGTWwAAvLvU.jpg'],twitter,train,1000,2019-09-24 08:44:02.000000,0.51,0.50,"['vienna', 'syria', 'austria']",,,,010100000076711B0DE05D30409A99999999194840,
78,"RT @khulods: أمس فقط الأثنين وصل 3650 لاجئاً سورياً إلى #فيينا
اللاجئين السوريين تجاوز عددهم 4 ملايين لاجئ تحتضن تركيا وحدها قرابة الـ40% …",only yesterday monday 3 650 syrian refugees arrived in vienna syrian refugees exceeded 4 million refugees turkey alone has about 40,,twitter,,,2019-09-24 08:44:58.000000,0.88,0.56,"['vienna', 'turkey', 'syria']",,,,010100000076711B0DE05D30409A99999999194840,
79,RT @klmty1: عاجل |المجر تعيد فتح محطة القطارات الرئيسية في بودابست مع عدم السماح بدخول اللاجئين لها… http://t.co/fVwA0LcX4W http://t.co/3z3…,klmty1 urgent hungary reopens main railway station in budapest with no refugees allowed to enter,['http://pbs.twimg.com/media/CNzoIV6VEAAiLWt.jpg'],twitter,,,2019-09-24 09:12:09.000000,0.65,0.54,"['hungary', 'budapest']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
